neighbourhood,id,host id,lat,long,Construction year,Price,service fee,minimum nights,number of reviews,reviews per month,Review Score,calculated host listings count,availability 365,distanceTimeSquare
Civic Center,30403398.19626168,46129560694.45795,40.71372495327103,-74.00362102803737,2011.245283018868,626.1214953271028,125.26168224299066,7.4766355140186915,14.626168224299066,0.7829411764705883,3.467289719626168,2.177570093457944,72.46534653465346,5.265144881339514
Claremont Village,30745162.305084743,47811497526.52542,40.83918155169492,-73.90905596101696,2012.677966101695,636.3728813559322,127.33898305084746,16.47457627118644,14.796610169491526,1.311818181818182,3.372881355932204,4.254237288135593,181.05357142857144,10.99013660285856
Clason Point,28437744.28,51160788896.38,40.81215584,-73.85729693999998,2012.72,590.5918367346939,117.72,2.78,19.56,1.497826086956522,3.5,2.78,216.3673469387755,12.300346249655806
Clifton,31910083.33333333,54417114629.15385,40.61884923076923,-74.08160282051283,2012.589743589744,702.0,140.35897435897436,3.3846153846153846,51.23076923076923,1.9568571428571424,3.8205128205128207,3.2564102564102564,202.0,17.570644034436846
Clinton Hill,27397353.554385964,50447206869.19123,40.68830102205264,-73.96430119081579,2012.2282704126424,633.2820738137083,126.5597539543058,9.215547703180212,29.22934973637961,0.9783636363636364,3.2177348551360843,1.9639401934916447,115.60533578656852,8.046675195952156
Co-op City,22594167.2,47298122338.4,40.86449399999999,-73.823648,2019.2,527.6,105.8,2.2,18.6,0.424,4.4,6.0,271.2,17.960295355695532
Cobble Hill,27800028.331658293,48755116117.35678,40.687291311557786,-73.99539906532662,2013.3266331658288,635.7839195979899,127.18090452261306,8.343434343434344,33.85929648241206,1.2197814207650273,3.1758793969849246,1.2110552763819096,105.1818181818182,8.012146928638943
College Point,31742331.041666668,51010016950.625,40.78433020833333,-73.84317374999999,2010.8125,669.1458333333334,133.79166666666666,5.0,31.125,1.9111904761904763,3.4375,1.1458333333333333,118.1875,12.307889990048702
Columbia St,27240432.62921348,55069599240.59551,40.68502378752809,-74.00261498629213,2012.7078651685392,716.6629213483146,143.3033707865169,6.613636363636363,22.146067415730336,1.206875,3.393258426966292,1.4606741573033708,106.70114942528735,8.346300255795041
Concord,32776160.032786883,47746012998.80328,40.601995573770495,-74.08488770491805,2014.233333333333,605.360655737705,121.0,4.950819672131147,28.049180327868854,1.4153448275862073,3.1311475409836067,4.868852459016393,265.46666666666664,19.37332841963241
Concourse,31257205.62601626,45560600387.14634,40.826972764227655,-73.92448593495935,2013.0819672131147,674.430894308943,134.89430894308944,3.4390243902439024,44.00813008130081,1.8437383177570088,3.0901639344262297,1.5121951219512195,171.45,9.131505616623604
Concourse Village,30258825.40789473,55609569534.039474,40.83000144736842,-73.91804394736842,2012.342105263158,547.0131578947369,109.36842105263158,3.763157894736842,25.36842105263158,1.3595081967213114,3.381578947368421,1.368421052631579,166.59722222222223,9.718315251896938
Coney Island,35476995.62,51715568660.08,40.57619556,-73.98916472,2012.38,695.26,139.1,4.54,35.98,1.247291666666667,3.08,3.96,165.84,20.32566211837587
Corona,31384387.7375,51044357159.75,40.742729325000006,-73.86028528125,2012.75,610.025,122.0375,2.848101265822785,32.9,1.9022727272727271,3.26875,3.43125,229.81645569620247,10.684151202396231
Crown Heights,28675317.01502146,49559909570.46198,40.67274114993867,-73.94546978807114,2012.434327899108,617.5316728167281,123.38291333743084,7.825846153846154,27.52989880404784,1.2916559370529328,3.2839582052858023,1.926040061633282,119.17001594896333,10.191208398438343
Cypress Hills,31361303.20833333,50531695756.26488,40.68225371505952,-73.88371787372023,2012.69552238806,620.2754491017964,123.755223880597,6.464285714285714,34.67261904761905,1.832360248447205,3.3323353293413174,2.957957957957958,177.78899082568807,12.102272528496018
DUMBO,28079768.72857143,47808728877.27143,40.70330285714285,-73.98747428571427,2013.0142857142853,568.2428571428571,113.61428571428571,8.528571428571428,52.74285714285714,1.5618367346938775,2.8714285714285714,4.5,116.08823529411764,6.187727277008348
Ditmars Steinway,29856726.174927115,48804383094.72449,40.77490543622449,-73.91084315864431,2012.918008784773,623.3751824817518,124.57434402332362,5.087847730600293,29.2463556851312,1.5646075085324231,3.383381924198251,2.4037900874635567,147.25112781954888,6.517384889241449
Dongan Hills,27143734.384615384,43583863203.07692,40.58064692307692,-74.09398384615385,2012.6153846153843,675.1538461538462,135.0,4.461538461538462,28.53846153846154,1.9907692307692304,3.1538461538461537,1.6153846153846154,185.46153846153845,21.848834387947576
Douglaston,32776661.40909091,40032216486.22727,40.761613636363634,-73.73778363636364,2010.8636363636365,488.95454545454544,101.0,1.681818181818182,24.09090909090909,1.3172727272727274,3.0,2.363636363636364,211.27272727272728,20.85045318568449
Downtown Brooklyn,31005008.274285715,52601625811.16572,40.69454451428572,-73.98495559999999,2012.32,596.4571428571429,119.28,6.234285714285714,19.822857142857146,1.143888888888889,3.4,2.528735632183908,72.56213017751479,7.157850461875213
Dyker Heights,28879584.28,50097669051.04,40.6240604,-74.0111852,2011.44,617.44,123.56,5.56,35.96,1.7354166666666666,3.2,1.48,170.79166666666666,15.157568582293177
East Elmhurst,31587421.405349795,49578885696.16049,40.76293488125515,-73.87798902545268,2012.3559670781888,669.7107438016529,133.96090534979425,2.7962962962962963,88.41769547325103,4.283861171366594,3.355371900826446,3.0764462809917354,180.84791666666663,9.046269667740168
East Flatbush,31405029.17093312,48276411702.464905,40.64872542023947,-73.93907913594549,2012.708850289496,644.4884297520662,128.79585062240665,7.733830845771144,29.618693134822166,1.6052698993595609,3.2958677685950413,3.911129568106312,186.125,12.885454578705485
East Harlem,29339329.137975223,48419687825.19521,40.7963310414182,-73.94226020761212,2012.2963597430407,626.9288774635818,125.25417916845264,7.223599828986747,35.75204125483455,1.619990342829551,3.3196229648671807,3.2018072289156625,116.39198218262806,5.525094752595582
East Morrisania,30082587.33333333,48736546797.809525,40.83208714285714,-73.8883342857143,2012.0,764.6666666666666,152.85714285714286,3.0,48.333333333333336,2.4566666666666666,3.15,2.571428571428572,221.2,11.517177542410058
East New York,31492069.33772652,47636207171.29489,40.66823013100494,-73.8838830405107,2012.2029702970297,605.8892561983471,121.11570247933884,5.695222405271829,36.01482701812191,1.8637302977232928,3.3526490066225167,3.4876441515650742,192.9983333333333,13.230751330359444
East Village,27445844.54581901,49496119971.56186,40.72674773569178,-73.98384882700373,2012.6055124892328,617.4988485895221,123.43095033017514,7.715107913669065,28.03038990825688,1.1411618398637138,3.27183908045977,3.163306451612903,104.25846061695118,3.590884246326367
Eastchester,26159934.24137931,50541392153.344826,40.88126793103448,-73.83399896551725,2013.6206896551723,680.2758620689655,136.0,1.7241379310344829,12.413793103448276,0.8629166666666667,3.1379310344827585,9.06896551724138,286.037037037037,18.625444424783176
Edenwald,33145196.057142857,49054703701.88571,40.88814309771429,-73.83715088942859,2013.028571428572,607.5142857142857,121.45714285714286,4.085714285714285,20.542857142857144,1.5164285714285717,3.5588235294117645,1.3823529411764706,224.88571428571427,19.01842944379636
Edgemere,32848541.8125,52018592324.125,40.594653125,-73.773036875,2013.625,630.5,126.29032258064515,10.28125,18.65625,1.169230769230769,2.96875,17.75,265.5,25.563578384652537
Elmhurst,31323166.67608286,49137886296.48211,40.74019496679246,-73.87901708809434,2012.5698113207548,632.2843691148776,126.25849056603774,8.28679245283019,28.43536121673004,1.5087553648068668,3.3667296786389413,14.617702448210922,132.93774319066148,9.193188928731288
Eltingville,31862124.285714287,40316550604.71429,40.54125857142857,-74.1501657142857,2011.0,712.0,142.57142857142858,5.166666666666667,85.14285714285714,2.41,4.0,1.2857142857142858,230.42857142857144,27.922774633393
Emerson Hill,29010236.5,65051183876.8,40.607053,-74.125334,2008.8,443.8,88.5,7.2,19.2,1.81,3.2,1.4,87.2,20.619823949464468
Far Rockaway,31997282.974358976,50792981258.66666,40.59779807692308,-73.75362230769231,2011.9102564102564,631.4871794871794,126.23076923076924,6.333333333333333,21.28205128205128,1.3870149253731343,3.602564102564102,7.831168831168831,161.66233766233765,26.500443657958087
Fieldston,29539914.2,42553491811.36,40.8917964,-73.9020744,2010.48,696.24,139.28,3.04,13.32,0.9064,3.36,1.24,175.16,16.347747798788127
Financial District,30282395.70939597,49398515995.68389,40.70679791543624,-74.00890579865772,2012.698252688172,623.5799731182796,124.64650537634408,11.68644639244774,14.763087248322147,1.64680981595092,3.42328398384926,98.14448924731182,195.0089717046239,6.135566041586943
